OrganisationID;OrganisationCode;OrganisationType;SubType;Sector;OrganisationStatus;IsPimsManaged;OrganisationName;Address1;Address2;Address3;City;County;Postcode;Latitude;Longitude;ParentODSCode;ParentName;Phone;Email;Website;Fax;
18386;NT302;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Bristol Hospital;;Redland Hill;;Bristol;;BS6 6UT;51,4720497131;-2,6148507595;NT3;Spire Healthcare;0117 980 4000;info@spirebristol.com;https://www.spirehealthcare.com/spire-bristol-hospital/;0117 974 3203;
18388;NT304;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Southampton Hospital;Chalybeate Hospital;Chalybeate Close;;Southampton;Hampshire;SO16 6UY;50,9306106567;-1,4327143431;NT3;Spire Healthcare;023 8077 5544;spire.southampton@nhs.net;https://www.spirehealthcare.com/spire-southampton-hospital/;;
18389;NT305;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Portsmouth Hospital;Bartons Road;;;Havant;Hampshire;PO9 5NP;50,8685913086;-0,9551261067;NT3;Spire Healthcare;02392 456 172;info@spireportsmouth.com;https://www.spirehealthcare.com/spire-portsmouth-hospital/;;
18390;NT308;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Gatwick Park Hospital;Povey Cross Road;;;Horley;Surrey;RH6 0BB;51,1676826477;-0,1833824515;NT3;Spire Healthcare;01293 785511;spire.nhsteamgpk@nhs.net;https://www.spirehealthcare.com/spire-gatwick-park-hospital/;;
18392;NT310;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Tunbridge Wells Hospital;Fordcombe Road;Fordcombe;;Tunbridge Wells;Kent;TN3 0RD;51,134513855;0,1881597638;NT3;Spire Healthcare;01892 740 047;info@spiretunbridgewells.com;https://www.spirehealthcare.com/spire-tunbridge-wells-hospital/;01892 740046;
18393;NT312;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Alexandra Hospital;Impton Lane;;;Chatham;Kent;ME5 9PG;51,3279342651;0,5265411735;NT3;Spire Healthcare;01634 687166;cservice-al@spirehealthcare.com;https://www.spirehealthcare.com/spire-alexandra-hospital/;01634 686 162;
18394;NT313;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Wellesley Hospital;Eastern Avenue;;;Southend-on-Sea;Essex;SS2 4XH;51,5543937683;0,7276030779;NT3;Spire Healthcare;01702 462944;spire.wellesley@nhs.net;https://www.spirehealthcare.com/spire-wellesley-hospital/;01702 447937;
18395;NT314;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire London East Hospital;Roding Lane South;;;Ilford;Essex;IG4 5PZ;51,5871543884;4.3077960610389709E-2;NT3;Spire Healthcare;020 8709 7878;spire.londoneast@nhs.net;https://www.spirehealthcare.com/spire-london-east-hospital;020 8709 7877;
18396;NT315;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Bushey Hospital;Heathbourne Road;Bushey Heath;;Bushey;Hertfordshire;WD23 1RD;51,6373405457;-0,331717819;NT3;Spire Healthcare;020 8901 5572;spire.bushey@nhs.net;https://www.spirehealthcare.com/spire-bushey-hospital/;020 8950 7556;
18397;NT316;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Harpenden Hospital;Spire Harpenden Hospital;Ambrose Lane;;Harpenden;;AL5 4BP;51,8281288147;-0,3603774607;NT3;Spire Healthcare;01582 763191;spire.harpenden@nhs.net;https://www.spirehealthcare.com/spire-harpenden-hospital/;0800 585 112;
18398;NT317;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Cambridge Lea Hospital;30 New Road;Impington;;Cambridge;Cambridgeshire;CB24 9EL;52,2447624207;0,1133785024;NT3;Spire Healthcare;01223 266 900;info@spirecambridge.com;https://www.spirehealthcare.com/spire-cambridge-lea-hospital/;01223 233 421;
18399;NT318;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Norwich Hospital;Old Watton Road;;;Norwich;Norfolk;NR4 7TD;52,6271209717;1,2257657051;NT3;Spire Healthcare;01603 456 181;spire.norwich@nhs.net;https://www.spirehealthcare.com/spire-norwich-hospital/;;
18400;NT319;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Hartswood Hospital;Eagle Way;;;Brentwood;Essex;CM13 3LE;51,6004142761;0,2930419147;NT3;Spire Healthcare;01277 232 525;spire.hartswood@nhs.net;https://www.spirehealthcare.com/spire-hartswood-hospital/;;
18401;NT320;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Parkway Hospital;1 Damson Parkway;;;Solihull;West Midlands;B91 2PP;52,4218864441;-1,7631216049;NT3;Spire Healthcare;0121 704 1451;parkwaynhsteam@spirehealthcare.com;https://www.spirehealthcare.com/spire-parkway-hospital/;0121 711 3436;
18402;NT321;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Little Aston Hospital;Little Aston Hall Drive;Little Aston;;Sutton Coldfield;;B74 3UP;52,599609375;-1,8755688667;NT3;Spire Healthcare;0121 353 2444;info@spirelittleaston.com;https://www.spirehealthcare.com/spire-little-aston-hospital/;0121 353 6897;
18403;NT322;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Leicester Hospital;;Gartree Road;;Leicester;Leicestershire;LE2 2FF;52,6146659851;-1,0834567547;NT3;Spire Healthcare;0116 265 3685;info@spireleicester.com;https://www.spirehealthcare.com/spire-leicester-hospital/;0116 272 0666;
18404;NT324;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Cheshire Hospital;;Fir Tree Close;Stretton;Warrington;Cheshire;WA4 4LU;53,337474823;-2,5763297081;NT3;Spire Healthcare;01925 265 000;spire.cheshire@nhs.net;https://www.spirehealthcare.com/spire-cheshire-hospital/;0800 195 3572;
18405;NT325;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Murrayfield Hospital;Holmwood Drive;Thingwall;;Wirral;Merseyside;CH61 1AU;53,3492774963;-3,080098629;NT3;Spire Healthcare;0151 648 7000;spire.murrayfield.nhsoffice@nhs.net;https://www.spirehealthcare.com/spire-murrayfield-hospital-wirral;0151 648 0481;
18406;NT327;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Manchester Hospital;170 Barlow Moor Road;Didsbury;;Manchester;Greater Manchester;M20 2AF;53,4252319336;-2,2536649704;NT3;Spire Healthcare;0161 447 6677;info@spiremanchester.com;https://www.spirehealthcare.com/spire-manchester-hospital/;0161 447 6678;
18407;NT332;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Leeds Hospital;;Jackson Avenue;;Leeds;West Yorkshire;LS8 1NT;53,8324699402;-1,5139130354;NT3;Spire Healthcare;0113 269 3939;spire.leeds@nhs.net;https://www.spirehealthcare.com/spire-leeds-hospital/;0113 218 5920;
18408;NT333;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Washington Hospital;Picktree Lane;;;Washington;Tyne and Wear;NE38 9JZ;54,8793678284;-1,5591007471;NT3;Spire Healthcare;0191 418 8669;spire.washington@nhs.net;https://www.spirehealthcare.com/spire-washington-hospital/;0191 418 8606;
18409;NT337;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Liverpool Hospital;Spire Liverpool Hospital;57 Greenbank Road;;Liverpool;;L18 1HQ;53,3852767944;-2,9241023064;NT3;Spire Healthcare;0151 733 7123;spire.liverpool@nhs.net;https://www.spirehealthcare.com/spire-liverpool-hospital/;;
18410;NT339;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Regency Hospital;West Street;;;Macclesfield;Cheshire;SK11 8DW;53,2601280212;-2,1377995014;NT3;Spire Healthcare;01625 507452;spire.regencyhospnhs@nhs.net;https://www.spirehealthcare.com/spire-regency-hospital-macclesfield/;;
18412;NT343;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Thames Valley Hospital;Wexham Street;Wexham;;Slough;Berkshire;SL3 6NH;51,5427894592;-0,5724008083;NT3;Spire Healthcare;01753 662 241;info@spirethamesvalley.com;https://www.spirehealthcare.com/spire-thames-valley-hospital/;;
18413;NT344;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Dunedin Hospital;16 Bath Road;;;Reading;Berkshire;RG1 6NS;51,4502220154;-0,9868063927;NT3;Spire Healthcare;0118 9587676;spire.dunedin@nhs.net;https://www.spirehealthcare.com/spire-dunedin-hospital/;0118 9585531;
18414;NT345;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Clare Park Hospital;Crondall Lane;;;Farnham;Surrey;GU10 5XX;51,2251281738;-0,8474741578;NT3;Spire Healthcare;01252 850216;info@spireclarepark.com;https://www.spirehealthcare.com/spire-clare-park-hospital/;;
18416;NT347;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Fylde Coast Hospital;;St. Walburgas Road;;Blackpool;Lancashire;FY3 8BP;53,8260574341;-3,0195705891;NT3;Spire Healthcare;01253 394 188;info@spirefyldecoast.com;https://www.spirehealthcare.com/spire-fylde-coast-hospital/;0800 587 4105;
18417;NT348;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Elland Hospital;Elland Lane;;;Elland;West Yorkshire;HX5 9EB;53,6887779236;-1,828913331;NT3;Spire Healthcare;01422 324000;spire.elland@nhs.net;https://www.spirehealthcare.com/spire-elland-hospital/;0800 138 8804;
18419;NT350;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Methley Park Hospital;Methley Lane;Methley;;Leeds;West Yorkshire;LS26 9HG;53,7404441833;-1,4233101606;NT3;Spire Healthcare;01977 518518;spire.methleypark@nhs.net;https://www.spirehealthcare.com/spire-methley-park-hospital/;;
18420;NT351;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire Hull and East Riding Hospital;Lowfield Road;Anlaby;;Hull;;HU10 7AZ;53,7392539978;-0,4350120127;NT3;Spire Healthcare;01482 659471;spire.hull@nhs.net;https://www.spirehealthcare.com/spire-hull-and-east-riding-hospital/;01482 654033;
18421;NT364;Hospital;Hospital;Independent Sector;Visible;TRUE;The Montefiore Hospital;;2 Montefiore Road;;Hove;East Sussex;BN3 1RD;50,8318557739;-0,1548852772;NT3;Spire Healthcare;01273 828 120;montefioreinfo@spirehealthcare.com;http://themontefiorehospital.co.uk/;01273 828 130;
18423;NT401;Hospital;Hospital;Independent Sector;Visible;TRUE;The Alexandra Hospital;The Alexandra Hospital;Mill Lane;;Cheadle;Cheshire;SK8 2PX;53,3972663879;-2,2158131599;NT4;Circle Health Group Limited;0161 428 3656;alexandramainreception@circlehealthgroup.co.uk;https://www.circlehealthgroup.co.uk/hospitals/the-alexandra-hospital;0161 491 3867;
18424;NT402;Hospital;Hospital;Independent Sector;Visible;TRUE;Bath Clinic;Bath Clinic;Claverton Down Road;Combe Down;Bath;;BA2 7BR;51,3642845154;-2,3320219517;NT4;Circle Health Group Limited;01225 835555;;https://www.circlehealthgroup.co.uk/hospitals/bath-clinic;01225 835900;
18425;NT403;Hospital;Hospital;Independent Sector;Visible;TRUE;The Beardwood Hospital;;Preston New Road;;Blackburn;Lancashire;BB2 7AE;53,7550430298;-2,5131618977;NT4;Circle Health Group Limited;01254 507607;;https://www.circlehealthgroup.co.uk/hospitals/the-beardwood-hospital;;
18426;NT404;Hospital;Hospital;Independent Sector;Visible;TRUE;The Beaumont Hospital;Old Hall Clough;Chorley New Road;Lostock;Bolton;Lancashire;BL6 4PA;53,5791893005;-2,4999730587;NT4;Circle Health Group Limited;01204 404404;;https://www.circlehealthgroup.co.uk/hospitals/the-beaumont-hospital;;
18427;NT405;Hospital;Hospital;Independent Sector;Visible;TRUE;Bishops Wood Hospital;;Rickmansworth Road;;Northwood;Middlesex;HA6 2JW;51,6164512634;-0,4465070665;NT4;Circle Health Group Limited;01923 886371;;https://www.circlehealthgroup.co.uk/hospitals/bishops-wood-hospital;01923 835181;
18428;NT406;Hospital;Hospital;Independent Sector;Visible;TRUE;The Blackheath Hospital;;40 - 42 Lee Terrace;;London;;SE3 9UD;51,4634742737;6.2793414108455181E-3;NT4;Circle Health Group Limited;020 8108 3076;;https://www.circlehealthgroup.co.uk/hospitals/the-blackheath-hospital;020 8318 2542;
18430;NT408;Hospital;Hospital;Independent Sector;Visible;TRUE;The Chaucer Hospital;The Chaucer Hospital;Nackington Road;;Canterbury;Kent;CT4 7AR;51,26171875;1,0874593258;NT4;Circle Health Group Limited;01227 825100;chaucer@circlehealthgroup.co.uk;https://www.circlehealthgroup.co.uk/hospitals/the-chaucer-hospital;01227 762733;
18431;NT409;Hospital;Hospital;Independent Sector;Visible;TRUE;Chelsfield Park Hospital;;Bucks Cross Road;Chelsfield;Orpington;Kent;BR6 7RG;51,3584671021;0,1308609545;NT4;Circle Health Group Limited;01689 877855;;https://www.circlehealthgroup.co.uk/hospitals/chelsfield-park-hospital;01689 837439;
18432;NT410;Hospital;Hospital;Independent Sector;Visible;TRUE;The Chiltern Hospital;;London Road;;Great Missenden;Buckinghamshire;HP16 0EN;51,6905326843;-0,6936541796;NT4;Circle Health Group Limited;01494 890890;;https://www.circlehealthgroup.co.uk/hospitals/the-chiltern-hospital#aria-panel-0;01494 890250;
18433;NT411;Hospital;Hospital;Independent Sector;Visible;TRUE;The Clementine Churchill Hospital;;Sudbury Hill;;Harrow;Middlesex;HA1 3RX;51,5649681091;-0,3326943219;NT4;Circle Health Group Limited;020 8872 3872;cch@bmihealthcare.co.uk;https://www.circlehealthgroup.co.uk/hospitals/the-clementine-churchill-hospital;;
18434;NT412;Hospital;Hospital;Independent Sector;Visible;TRUE;The Droitwich Spa Hospital;;St Andrews Road;;Droitwich;Worcestershire;WR9 8DN;52,265537262;-2,1508662701;NT4;Circle Health Group Limited;01905 793333;droitwich@bmihealthcare.co.uk;https://www.circlehealthgroup.co.uk/hospitals/the-droitwich-spa-hospital;01905 793334;
18438;NT416;Hospital;Hospital;Independent Sector;Visible;TRUE;Hendon Hospital;Hendon Hospital;46-50 Sunny Gardens Road;Hendon;London;;NW4 1RP;51,593711853;-0,2245897055;NT4;Circle Health Group Limited;020 8457 4500;garden@bmihealthcare.co.uk;https://www.circlehealthgroup.co.uk/hospitals/hendon-hospital;020 8457 4567;
18439;NT417;Hospital;Hospital;Independent Sector;Visible;TRUE;Goring Hall Hospital;Bodiam Avenue;Goring-By-Sea;;Worthing;West Sussex;BN12 5AT;50,8113899231;-0,4318186939;NT4;Circle Health Group Limited;01903 506699;info@bmihealthcare.co.uk;https://www.circlehealthgroup.co.uk/hospitals/goring-hall-hospital;01903 242348;
